,맥주정보,검색이름,맥주이름
11,"thorongil2(5,780)
🇨🇦rootless cosmopolitan elite, Canada
1.5October 16, 2015
(can) clear pale yellow colour with a medium tall white head; aroma of skunk, rubber; neutral, barely present flavour, no finish
Aroma
2
Appearance
3
Flavor
3
Mouthfeel
3
Overall
4",Cass Light,Cass Light
12,"BeergeekKorea(107)
🇰🇷South Korea
1.1July 11, 2015
Aroma: No…
Show more
Aroma
1
Appearance
2
Flavor
3
Mouthfeel
1
Overall
4",Cass Light,Cass Light
13,"Ethanolist(10)
1.4December 22, 2014
It’s a typical light lager. Pale yellow pour, bitterless and watery taste, very thin body like water, very very very pale flavor of malts and citrus, head disappears quickly.
Aroma
3
Appearance
2
Flavor
2
Mouthfeel
1
Overall
6",Cass Light,Cass Light
14,"Imaena(2,404)
🇺🇦Kyiv, Ukraine
1.0September 7, 2014
Can. I had this on a KAL flight from ATL to ICN. The stewardess said it was one of her favorites. I feel sad for her. It tastes like lost hope turpentine.
Aroma
2
Appearance
2
Flavor
1
Mouthfeel
2
Overall
3",Cass Light,Cass Light
15,"Lubiere(19,204)
🇨🇦Ottawa, Canada
1.7April 22, 2014
A golden lager with a thin white head. In aroma, grassy malt with mineral notes, light off notes, light solvent, bad. In mouth, light watery lager with no hops, sweetish, bad. Can…
Show more
Aroma
4
Appearance
3
Flavor
3
Mouthfeel
2
Overall
5",Cass Light,Cass Light
16,"Beerhunter111(34,915)
🇩🇪Beerland, Germany
1.2January 20, 2014
330ml Dose. Hellgelbe Farbe mit sehr wenig Schaum. Geruch schwach malzig, muffig. Geschmack extrem wässrig malzig.
Aroma
3
Appearance
2
Flavor
2
Mouthfeel
2
Overall
3",Cass Light,Cass Light
17,"maxwelldeux(4,373)
🇺🇸Snohomish, United States
1.5July 4, 2013
Can from a random 7-11 in Seoul. Nose has a vague whiff of lager elements to it, but it really is super light as the name would imply. Taste is damn near water. Completely…
Show more
Aroma
2
Appearance
2
Flavor
3
Mouthfeel
3
Overall
5",Cass Light,Cass Light
18,"madmitch76(33,851)
🇬🇧England
1.7June 30, 2013
11th June 2013
Tasting at Bruce’s pad. Thanks to Bruce for this country tick. Almost clear gold beer, little white head. Light and very dry…
Show more
Aroma
4
Appearance
4
Flavor
3
Mouthfeel
2
Overall
4",Cass Light,Cass Light
19,"Scopey(21,543)
🇬🇧Oldmeldrum, Scotland
1.9June 23, 2013
Can, many thanks to Bruce..... It pours pale yellow with a small white head. The nose is dull sweetness, cereal, dough and paper. The taste is dough, grass, flour, hint of lemon…
Show more
Aroma
4
Appearance
3
Flavor
3
Mouthfeel
2
Overall
7",Cass Light,Cass Light
20,"jackl(8,677)
🇺🇸Minneapolis, United States
2.0June 18, 2013
Bottle at Bruce’s. Fuck yeah, I finally get the South Korean pale lager rate I’ve always wanted. The pour’s very light gold with a tight creamy white head. Actually not an unattractive…
Show more
Aroma
4
Appearance
3
Flavor
3
Mouthfeel
2
Overall
8",Cass Light,Cass Light
21,"maneliquor(3,513)
🇦🇺Perth, Australia
2.5June 12, 2013
Bottle shared at Bruce’s. Nowhere near as bad as I was expecting. It actually looked pretty damn good for a pale lager. Smelt a little funky but tasted fine. Not too shabby
Aroma
4
Appearance
5
Flavor
5
Mouthfeel
3
Overall
8",Cass Light,Cass Light
22,"Leighton(30,070)
🇬🇧London, England
3.8June 11, 2013
Can at Bruce’s on the opening evening of Jack’s Farewell Tour in London - massive thanks to Bruce. Pours perfectly clear yellow with a lasting, frothy white head. Light dry cere…
Show more
Aroma
7
Appearance
4
Flavor
7
Mouthfeel
4
Overall
16",Cass Light,Cass Light
23,"FatPhil(22,251)
🇪🇪Tallinn, Estonia
1.5May 25, 2013
355ml can (Anywhere, Suwon)…
Show more
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
1
Overall
6",Cass Light,Cass Light
24,"Bart(2,934)
🇧🇪Brussels, Belgium
1.9September 19, 2012
Cann, 33cl. Clear blond coloured with some light carbonation and a medium but diminishing white head. Stranger malty sweet almost veggy hinted aroma. On the verge of…
Show more
Aroma
5
Appearance
3
Flavor
3
Mouthfeel
2
Overall
6",Cass Light,Cass Light
25,"Palme(5,033)
🇳🇴Bergen, Norway
1.5January 13, 2012
0.33l bottle shared with ClubGonzo and Inbreak. A golden clear beer with a small quickly fading bubbly almost transparent head. The aroma is not way to nice. Old and…
Show more
Aroma
3
Appearance
3
Flavor
2
Mouthfeel
2
Overall
5",Cass Light,Cass Light
26,"ClubGonzo(5,677)
🇳🇴Bergen, Norway
1.1January 9, 2012
Can, courtesy of Palme and shared with Bergen Beer Geek Tasting Crew. Clear golden body, big foamy white head. Nose is rotting vegetables, grain, paper and pale malts. Meh. A…
Show more
Aroma
2
Appearance
3
Flavor
2
Mouthfeel
2
Overall
2",Cass Light,Cass Light
27,"joergen(37,595)
🇩🇰Frederiksberg, Denmark
1.2November 16, 2011
Can at Papsø.
Clear pale yellow coloured with a medium sized white…
Show more
Aroma
3
Appearance
2
Flavor
2
Mouthfeel
1
Overall
4",Cass Light,Cass Light
28,"yespr(54,800)
🇩🇰Copenhagen, Denmark
1.9November 14, 2011
33 cL can. Pours clear and golden yellow with a small white head. Aroma is cornish, grassy and hayish. Cornish and slight grassy finish. Ends dry and bitter finish.
Aroma
4
Appearance
2
Flavor
4
Mouthfeel
2
Overall
7",Cass Light,Cass Light
29,"Ungstrup(47,513)
🇩🇰Citizen of the universe, Denmark
1.7November 14, 2011
Can. A yellow beer with a white head. The aroma has notes of malt, straw, and a bit of metal. The flavor is sweet with notes of straw, metal, and lemons, leading to a dry, metallic…
Show more
Aroma
5
Appearance
3
Flavor
3
Mouthfeel
1
Overall
5",Cass Light,Cass Light
30,"Pinball(13,467)
🇩🇰Copenhagen, Denmark
2.5November 14, 2011
can at papsoe 25 tasting.
clear pale yellow ,smooth white…
Show more
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
9",Cass Light,Cass Light
31,"Papsoe(25,043)
🇩🇰Frederiksberg, Denmark
1.5November 14, 2011
Can 35,5 cl. Clear yellow with a white head. Fresh fruity nose. Body is very thin and watery, no malt to speak of and a heavy metallic note. Somewhat dry finish where I believe I can…
Show more
Aroma
4
Appearance
3
Flavor
2
Mouthfeel
2
Overall
4",Cass Light,Cass Light
32,"SHIG(9,413)
🇬🇧Bury St Edmunds, England
2.3May 1, 2011
Can: Poured a golden clear with a huge white fluffy head. Aroma is sweet harvest. Taste is soft grain and fresh, very mellow and not bad for a can. This is a nice beer for being…
Show more
Aroma
4
Appearance
3
Flavor
5
Mouthfeel
2
Overall
9",Cass Light,Cass Light
